이상해씨, 1, Grass, Poison, Seed Pokemon, 71, 6900, Medium Slow, 45, 49, 49, 65, 65, 45, 318, Grass, Monster, 8750, 1250, 태어났을 때부터 등에 이상한 씨앗이 심어져 있으며 몸과 함께 자란다고 한다.
또가스, 109, Poison, Poison, Poison Gas Pokemon, 61, 1000, Medium Fast, 40, 65, 95, 60, 45, 35, 340, Amorphous, Amorphous, 5000, 5000, 체내에 갖가지 독가스가 모였기 때문에 때때로 대폭발을 일으키기도 한다.
또도가스, 110, Poison, Poison, Poison Fas Pokemon, 119, 9500, Medium Fast, 65, 90, 120, 85, 70, 60, 490, Amorphous, Amorphous, 5000, 5000, 2개의 독가스 성분이 오랫동안 괴인 곳에서 쌍둥이 또가스가 나온다는 것 같다.
뿔카노, 111, Ground, Rock, Spikes Pokemon, 99, 115000, Slow, 80, 85, 95, 30, 30, 25, 345, Field, Monster, 5000, 5000, 뼈가 튼튼해서 인간의 1000배는 딱딱하다. 대형 트레일러도 날려버린다.
코뿌리, 112, Ground, Rock, Drill Pokemon, 191, 120000, Slow, 105, 130, 120, 45, 45, 40, 485, Field, Monster, 5000, 5000, 전신을 갑옷 같은 피부로 보호하고 있다. 2000도의 마그마 속에서도 살 수 있다.
럭키, 113, Normal, Normal, Egg Pokemon, 109, 34600, Fast, 250, 5, 5, 35, 105, 50, 450, Fairy, Fairy, 0, 10000, 개체 수가 매우 적다. 잡은 사람에게는 행복을 가져다준다고 전해진다.
덩쿠리, 114, Grass, Grass, Vine Pokemon, 99, 35000, Medium Fast, 65, 55, 115, 100, 40, 60, 435, Grass, Grass, 5000, 5000, 온몸이 덩굴로 겹겹이 뒤덮여서 걸을 때마다 흔들흔들거린다.
캥카, 115, Normal, Normal, Parent Pokemon, 221, 80000, Medium Fast, 105, 95, 80, 40, 80, 90, 490, Monster, Monster, 0, 10000, 새끼는 어미의 배에 있는 주머니에서 거의 나오지 않는다. 약 3년이 지나서 자립한다.
쏘드라, 116, Water, Water, Dragon Pokemon, 41, 8000, Medium Fast, 30, 40, 70, 70, 25, 60, 295, Dragon, Water 1, 5000, 5000, 수면에서 힘차게 먹물을 발사해서 날고 있는 벌레를 맞춰서 떨어뜨릴 때가 있다고 한다.
시드라, 117, Water, Water, Dragon Pokemon, 119, 25000, Medium Fast, 55, 65, 95, 95, 45, 85, 440, Dragon, Water 1, 5000, 5000, 날개와 꼬리를 재빠르게 움직여 앞을 향한 채 뒤로 헤엄칠 수 있는 포켓몬이다.
콘치, 118, Water, Water, Goldfish Pokemon, 61, 15000, Medium Fast, 45, 67, 60, 35, 50, 63, 320, Water 2, Water 2, 5000, 5000, 헤엄칠 때 꼬리지느러미가 드레스처럼 살랑살랑 흔들려서 수중의 여왕이라고 불린다.
왕콘치, 119, Water, Water, Goldfish Pokemon, 130, 39000, Medium Fast, 80, 92, 65, 65, 80, 68, 450, Water 2, Water 2, 5000, 5000, 가을이 오면 산란을 위해 힘차게 강물을 거슬러 올라가며 헤엄치는 모습을 볼 수 있다.
별가사리, 120, Water, Water, Star Shape Pokemon, 79, 34500, Slow, 30, 45, 55, 70, 55, 85, 340, Water 3, Water 3, 0, 0, 몸의 일부가 잘려도 자기재생해서 원래대로 돌아가는 수수께끼가 많은 생물이다.
아쿠스타, 121, Water, Psychic, Mysterious Pokemon, 109, 80000, Slow, 60, 75, 85, 100, 85, 115, 520, Water 3, Water 3, 0, 0, 코어라 불리는 중심은 일곱 빛깔로 빛난다. 이것을 보석으로 삼는 사람도 있다고 한다.
마임맨, 122, Psychic, Psychic, Barrier Pokemon, 130, 54500, Medium Fast, 40, 45, 65, 100, 120, 90, 460, Human-Like, Human-Like, 5000, 5000, 판토마임을 방해하면 갑자기 큰 손바닥으로 연속뺨치기를 날린다고 한다.
스라크, 123, Bug, Flying, Mantis Pokemon, 150, 56000, Medium Fast, 70, 110, 80, 55, 80, 105, 500, Bug, Bug, 5000, 5000, 닌자처럼 재빠르다. 너무 빨리 움직일 때에는 몇 마리나 있는 것처럼 보인다.
루주라, 124, Ice, Psychic, Human Shape Pokemon, 140, 40600, Medium Fast, 65, 50, 35, 115, 95, 95, 455, Human-Like, Human-Like, 0, 10000, 허리를 흔드는 듯이 걷고 있다. 방심하면 엉겁결에 따라서 춤춰버린다고 한다.
에레브, 125, Electric, Electric, Electric Pokemon, 109, 30000, Medium Fast, 65, 83, 57, 95, 85, 105, 490, Human-Like, Human-Like, 7500, 2500, 발전소 부근에서 모습을 감췄을 때 마을에서 큰 정전이 일어난다고 한다.
마그마, 126, Fire, Fire, Spitfire Pokemon, 130, 44500, Medium Fast, 65, 95, 57, 100, 85, 93, 495, Human-Like, Human-Like, 7500, 2500, 스스로 오렌지색깔로 불타고 있어서 불꽃 속에 숨으면 전혀 구분이 안 된다.
쁘사이저, 127, Bug, Bug, Stag Beetle Pokemon, 150, 55000, Slow, 65, 125, 100, 55, 70, 85, 500, Bug, Bug, 5000, 5000, 뿔 사이에 끼워도 조각나지 않을 땐 뿔에 끼운 채 그대로 세차게 내던지는 전법을 취한다.
켄타로스, 128, Normal, Normal, Wild Bull Pokemon, 140, 88400, Slow, 75, 100, 95, 40, 70, 110, 490, Field, Field, 10000, 0, 노리는 먹이를 포착하면 꼬리로 몸을 때리면서 똑바로 돌진해온다.
잉어킹, 129, Water, Water, Fish Pokemon, 89, 10000, Slow, 20, 10, 55, 15, 20, 80, 200, Dragon, Water 2, 5000, 5000, 아주 먼 옛날에는 좀 더 강했던 것 같다. 그러나 지금은 안쓰러울 정도로 약하다.
갸라도스, 130, Water, Flying, Atrocious Pokemon, 650, 235000, Slow, 95, 125, 79, 60, 100, 81, 540, Dragon, Water 2, 5000, 5000, 거의 모습을 드러내지 않지만 한번 날뛰면 커다란 도시가 괴멸하는 경우도 있다.
라프라스, 131, Water, Ice, Transport Pokemon, 249, 220000, Slow, 130, 85, 80, 85, 95, 60, 535, Monster, Water 1, 5000, 5000, 사람들에게 많이 잡혀버려 멸종 직전에 놓이게 되었다. 사람을 태우고 바다를 나아간다.
메타몽, 132, Normal, Normal, Transform Pokemon, 30, 4000, Medium Fast, 48, 48, 48, 48, 48, 48, 288, Ditto, Ditto, 0, 0, 세포조직을 한순간에 복사해서 상대와 똑같이 변신하는 능력이 있다.
이브이, 133, Normal, Normal, Evolution Pokemon, 30, 6500, Medium Fast, 55, 55, 50, 45, 65, 55, 325, Field, Field, 8750, 1250, 불규칙한 유전자를 가졌다. 돌에서 나오는 방사선에 의해 몸이 갑자기 변이를 일으킨다.
샤미드, 134, Water, Water, Bubble Jet Pokemon, 99, 29000, Medium Fast, 130, 65, 60, 110, 95, 65, 525, Field, Field, 8750, 1250, 물가에 살지만 꼬리에는 물고기 같은 지느러미가 남아 있어 인어로 착각하는 사람도 있다.
쥬피썬더, 135, Electric, Electric, Lightning Pokemon, 79, 24500, Medium Fast, 65, 65, 60, 110, 95, 130, 525, Field, Field, 8750, 1250, 공기 중의 마이너스 이온을 빨아들여 약 1만 볼트의 전기를 뿜을 수 있다.
부스터, 136, Fire, Fire, Flame Pokemon, 89, 25000, Medium Fast, 65, 130, 60, 95, 110, 65, 525, Field, Field, 8750, 1250, 몸에 불꽃을 모을 때 체온이 900도 이상으로 올라가서 매우 위험하다.
폴리곤, 137, Normal, Normal, Virtual Pokemon, 79, 36500, Medium Fast, 65, 60, 70, 85, 75, 40, 395, Mineral, Mineral, 0, 0, 몸이 프로그램으로 이루어져 있다. 전자공간을 자유자재로 이동할 수 있는 능력을 지녔다.
암나이트, 138, Rock, Water, Spiral Pokemon, 41, 7500, Medium Fast, 35, 40, 100, 90, 55, 35, 355, Water 1, Water 3, 8750, 1250, 절멸한 포켓몬이나 좀처럼 드물지 않게 화석이 발견되 거기에서 되살아날 수 있다.
암스타, 139, Rock, Water, Spiral Pokemon, 99, 35000, Medium Fast, 70, 60, 125, 115, 70, 55, 495, Water 1, Water 3, 8750, 1250, 날카로운 이빨과 촉수를 지니면서 껍질이 너무 커서 먹이를 잡지 못하고 절멸 한 듯 싶다.
투구, 140, Rock, Water, Shellfish Pokemon, 51, 11500, Medium Fast, 30, 80, 95, 55, 45, 55, 355, Water 1, Water 3, 8750, 1250, 먼 옛날 바다였던 지층에서 발견한 화석을 부활시킨 포켓몬이다.
투구푸스, 141, Rock, Water, Shellfish Pokemon, 130, 40500, Medium Fast, 60, 115, 105, 65, 70, 80, 495, Water 1, Water 3, 8750, 1250, 여위어서 헤엄치는 것이 빠르다. 먹잇감을 낫으로 자르고 체액을 남김없이 빨아먹는다.
프테라, 142, Rock, Flying, Fossil Pokemon, 180, 59000, Slow, 80, 105, 65, 60, 75, 130, 515, Flying, Flying, 8750, 1250, 톱 같은 이빨로 상대의 목덜미를 물어뜯어버린다. 포악한 고대의 포켓몬이다.
잠만보, 143, Normal, Normal, Sleeping Pokemon, 211, 460000, Slow, 160, 110, 65, 65, 110, 30, 540, Monster, Monster, 8750, 1250, 게으르고 먹고나면 잘 뿐이다. 그래서 점점 살이 쪄가 점점 게을러지고 마는 것 같다.
프리져, 144, Ice, Flying, Freeze Pokemon, 170, 55400, Slow, 90, 85, 100, 95, 125, 85, 580, Undiscovered, Undiscovered, 0, 0, 눈 덮인 산에서 추워서 얼어죽게 될 상황에 나타나 준다고 하는 전설의 냉동 포켓몬.
썬더, 145, Electric, Flying, Electric Pokemon, 160, 52600, Slow, 90, 90, 85, 125, 90, 100, 580, Undiscovered, Undiscovered, 0, 0, 구름 위에서 거대한 번개를 내리치며 나타난다. 전설의 새 포켓몬이다.
파이어, 146, Fire, Flying, Flame Pokemon, 201, 60000, Slow, 90, 100, 90, 125, 85, 90, 580, Undiscovered, Undiscovered, 0, 0, 오래전부터 불새의 전설로 알려져 있다. 날갯짓 할 때마다 날개가 눈부시게 불타올라서 아름답다.
미뇽, 147, Dragon, Dragon, Dragon Pokemon, 180, 3300, Slow, 41, 64, 45, 50, 50, 50, 300, Dragon, Water 1, 5000, 5000, 오랫동안 환상의 포켓몬이라 불렸다. 물속에 산다는 사실이 겨우 밝혀졌다.
신뇽, 148, Dragon, Dragon, Dragon Pokemon, 399, 16500, Slow, 61, 84, 65, 70, 70, 70, 420, Dragon, Water 1, 5000, 5000, 오라에 싸여있는 신성한 생명체인 듯하다. 날씨를 바꾸는 힘을 가졌다고 한다.
망나뇽, 149, Dragon, Flying, Dragon Pokemon, 221, 210000, Slow, 91, 134, 95, 100, 100, 80, 600, Dragon, Water 1, 5000, 5000, 모습을 본 사람은 적지만 실존한다. 바다의 화신. 지능도 인간을 필적한다고 한다.
뮤츠, 150, Psychic, Psychic, Genetic Pokemon, 201, 122000, Slow, 106, 110, 90, 154, 90, 130, 680, Undiscovered, Undiscovered, 0, 0, 한 과학자가 몇 년에 걸쳐 무서운 유전자의 연구를 계속한 결과 탄생했다.
뮤, 151, Psychic, Psychic, New Species Pokemon, 41, 4000, Medium Slow, 100, 100, 100, 100, 100, 100, 600, Undiscovered, Undiscovered, 0, 0, 지금도 환상의 포켓몬이라고 전해진다. 그 모습을 본 자는 전국에서 한 명도 없다.
